Séance,Chapitre,Contenu de la séance,Pièce jointe
2025-11-28,calcul littéral,Je suis capable de,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\4_Grp_3\4_Grp_3_Cours\4_Grp_3_seances\1_corr.pdf
2025-12-01,calcul littéral,lalal,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\4_Grp_3\4_Grp_3_Cours\4_Grp_3_seances\2_corr.pdf
2025-12-02,calcul littéral,lalal,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\4_Grp_3\4_Grp_3_Cours\4_Grp_3_seances\3_corr.pdf
2025-12-04,calcul littéral,zzll,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\4_Grp_3\4_Grp_3_Cours\4_Grp_3_seances\3 - Copie_corr.pdf
2025-12-05,calcul littéral,llzz,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\4_Grp_3\4_Grp_3_Cours\4_Grp_3_seances\4.pdf
2025-12-09,calcul littéral,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\4_Grp_3\4_Grp_3_Cours\4_Grp_3_seances\5.pdf
2025-12-11,,,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\4_Grp_3\4_Grp_3_Cours\4_Grp_3_seances\6.pdf
2025-12-12,,,
2025-12-15,,,
2025-12-16,,,
2025-12-18,,,
2025-12-19,,,
2026-01-06,,,
2026-01-08,,,
2026-01-09,,,
2026-01-12,,,
2026-01-13,,,
2026-01-15,,,
2026-01-16,,,
2026-01-20,,,
2026-01-22,,,
2026-01-23,,,
2026-01-26,,,
2026-01-27,,,
2026-01-29,,,
