Séance,Chapitre,Contenu de la séance,Pièce jointe
2025-11-28,Nombres relatifs,J’utilise les nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\1.pdf
2025-12-01,Nombres relatifs,J’utilise les nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\2.pdf
2025-12-02,Nombres relatifs,Je me repère avec les nombres relatifs et je les compare,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\3.pdf
2025-12-04,Nombres relatifs,Je me repère avec les nombres relatifs et je les compare,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\3.pdf
2025-12-05,Nombres relatifs,Je place des points dans un repère orthogonal,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\4.pdf
2025-12-09,Nombres relatifs,J’effectue la somme et la différence de deux nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\6.pdf
2025-12-11,Nombres relatifs,Je suis capable de déterminer l’opposé d’un nombre relatif,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\7.pdf
2025-12-12,Nombres relatifs,Construction géométrique d’un lutin,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\8.pdf
2025-12-15,Nombres relatifs,J’effectue la somme et la différence de deux nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\8.pdf
2025-12-16,Nombres relatifs,J’effectue la somme et la différence de deux nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\9.pdf
2025-12-18,Nombres relatifs,J’effectue la somme et la différence de deux nombres relatifs,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_5\5_Grp_5_Cours\5_Grp_5_seances\9.pdf
2025-12-19,Nombres relatifs,Devoir surveillé,
2026-01-08,Expressions littérales,Produire une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\8.pdf
2026-01-12,Expressions littérales,Produire une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\9.pdf
2026-01-13,Expressions littérales,Produire une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\10.pdf
2026-01-15,Expressions littérales,Produire une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\11.pdf
2026-01-16,Expressions littérales,Utiliser une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\13.pdf
2026-01-20,Expressions littérales,Utiliser une expression littérale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\12.pdf
2026-01-22,Expressions littérales,Je teste une égalité ou je démontre une propriété générale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\12.pdf
2026-01-23,Expressions littérales,Je teste une égalité ou je démontre une propriété générale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\14.pdf
2026-01-26,Expressions littérales,Je teste une égalité ou je démontre une propriété générale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\15.pdf
2026-01-27,Expressions littérales,Je teste une égalité ou je démontre une propriété générale,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\16.pdf
2026-01-29,Géométrie du triangle,Droites remarquables d’un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\17.pdf
2026-02-03,Géométrie du triangle,Je connais et j’utilise les médiatrices et hauteurs d’un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\18.pdf
2026-02-05,Géométrie du triangle,Je connais et j’utilise les médiatrices et hauteurs d’un triangle,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\19.pdf
2026-02-12,Proportionnalité,Reconnaître la proportionnalité,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\23.pdf
2026-02-13,Proportionnalité,Reconnaître un tableau de proportionnalité,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\24.pdf
2026-03-03,Fractions,Fractions égales,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\38.pdf
2026-03-05,Fractions,Addition et soustraction de fractions,C:\Users\Utilisateur\Mon Drive\Enseignement\College Montherlant 2025-2026\5_Grp_1\5_Grp_1_Cours\5_Grp_1_seances\39.pdf
2026-03-06,,,
2026-03-13,,,
2026-03-17,,,
2026-03-19,,,
2026-03-20,,,
2026-03-23,,,
